id,rank,win%,k/d,dmg/rnd,region,acc_head_%,acc_head_hits,acc_body_%,acc_body_hits,acc_leg_%,acc_leg_hits,matchs_played,headshot_%,wins_total,kills_total,avg_kill_per_rnd,top_agent_nam,top_agent_time_hrs,top_agent_matchs,top_agent_win_%,top_agent_kd_avg,top_agent_adr
GSC Lén Look#TUAN,Immortal 3,57.6,1.04,137.4,VN,19.8,215,72.1,784,8.1,88,"1,304",18,698,"18,493",0.7,Sova,402,730,55.2,0.97,139.1
UnToLd#1111,Platinum 1,53.1,0.89,130.5,US,23.5,229,71.3,695,5.2,51,844,19.7,410,"11,659",0.7,Omen,202,366,52.5,0.89,124.3
WD Hippo5705#5675,Diamond 3,48,1.01,141.1,PH,13.3,255,76.5,1472,10.2,196,"1,993",12.5,984,"29,365",0.7,Sova,212,371,47.7,1.02,145.9
Soma#wlh,Gold 3,44,1.07,148.4,DZ,17.8,261,75.6,1107,6.6,97,154,15.7,80,"2,470",0.8,Reyna,25,44,56.8,1.15,160.8
shinyaaaaa#4893,Silver 1,58.1,0.95,123.4,MY,9.2,100,80.1,872,10.7,116,88,7.2,44,"1,248",0.7,Omen,40,70,47.1,0.98,126.7
Chisim#8888,Silver 2,58.8,0.81,120.4,RU,11.2,142,70.1,892,18.8,239,104,9.6,49,"1,425",0.6,Skye,47,80,51.2,0.87,128
Piff#puffi,Diamond 3,0,1.17,168.7,SE,26,256,69.6,686,4.4,43,387,21,197,"6,775",0.8,Jett,42,75,53.3,1.13,171.8
MEC sgtpereira#5080,Platinum 1,56.8,1.04,156.1,BR,11.6,144,79.8,988,8.6,106,"1,305",10.8,661,"19,760",0.7,Raze,257,453,47.2,0.96,157.3
KevvaB#BKW,Ascendant 3,55.6,0.95,129.2,SE,17.3,172,74.4,740,8.3,83,"1,543",15,778,"23,288",0.7,Reyna,174,302,51,1.04,146
SirPelijonneez#Äitis,Gold 1,47.9,0.86,129.2,FI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amogus#AcydE,Ascendant 1,51.4,1.09,143.6,DE,37.6,320,60,510,2.4,20,521,20.7,264,"8,948",0.8,Reyna,52,93,51.6,1.34,178.4
harley#1906,Silver 3,48,0.93,127.1,PT,23.5,232,73,720,3.4,34,206,16.2,96,"3,257",0.8,Sage,51,86,50,1.04,134.3
PeakOMN#5167,Ascendant 2,40,0.92,129.1,AT,21.6,222,72.7,746,5.7,58,"1,082",17.4,569,"16,419",0.7,Omen,299,507,54.4,1.02,131.4
bar#420,Gold 2,47.5,0.89,129.9,US,26.5,222,66,554,7.5,63,53,25.4,25,640,0.6,Jett,6.8,14,35.7,1.08,142.4
KoalaChoc#4011,Iron 2,42.9,0.77,93.3,IT,13.6,91,72.1,483,14.3,96,17,13.6,6,158,0.5,Viper,8,14,42.9,0.59,78.6
Rami#9361,Bronze 1,62.9,1.12,134.5,MY,8.7,157,76.4,1387,14.9,271,82,10.2,37,865,0.5,Killjoy,14,25,60,0.99,132.5
Swayy#Rv3,Ascendant 1,55.6,1.29,160.2,IT,21.6,200,74.1,685,4.2,39,"1,034",19.4,522,"16,970",0.8,Chamber,300,509,51.5,1.18,153.3
Adventura#6962,Gold 2,50,1.11,144.1,IN,14,205,78,1146,8,118,490,12.5,231,"7,618",0.7,Raze,103,171,55.6,1.22,163.2
laudi#kun,Diamond 1,46.2,1.06,142.2,US,27.6,252,70,640,2.4,22,706,22.4,353,"9,815",0.7,Sage,148,258,51.6,0.98,118.6
Her Good Boy#Kitty,Silver 2,42.1,1.81,202.5,US,17.8,301,74.1,1252,8.1,136,167,17.8,75,"3,040",0.9,Sage,71,117,46.2,1.35,164.6
Drakenn#8631,Ascendant 1,49.4,1.13,153.4,CH,30.5,302,66.2,655,3.2,32,"1,363",18.9,679,"23,042",0.8,Reyna,236,413,52.1,1.13,160.7
MrWolf213#911,Bronze 2,46.7,0.76,115.9,ZA,9.3,108,78.6,912,12.1,140,207,10.9,95,"2,163",0.5,Viper,37,66,42.4,0.53,89.1
TrailTrader#4081,Silver 2,44.7,0.9,132.7,MY,10.1,156,69.7,1079,20.3,314,540,10.1,260,"7,780",0.7,Reyna,127,224,50.9,1.01,139.2
Tomo664#1426,Bronze 1,35.7,0.65,96.4,HR,12.6,159,73.5,925,13.9,175,35,11.9,14,421,0.6,Yoru,13,24,45.8,0.97,128.4
gerard way#love,Gold 2,30,1,147.8,US,28.2,307,65.9,718,6,65,"2,480",14.9,"1,181","36,544",0.7,Jett,368,663,47.4,0.93,142.1
Siyami#NGU,Diamond 2,54.5,1.65,192.5,RU,16.2,246,75.2,1140,8.6,130,466,15,234,"7,288",0.7,Viper,131,217,57.1,1.1,142.1
MocK#Slays,Silver 3,47.8,0.97,140.9,US,15,163,73.5,800,11.6,126,396,15.6,195,"5,899",0.7,Reyna,97,173,48,1.05,158.1
Reprevise#3912,Platinum 2,51.6,0.91,130.6,US,14.1,155,77.3,849,8.6,95,407,15.2,208,"6,252",0.8,Sage,57,110,40,0.78,114.7
lyonelN#1234,Platinum 2,40.4,0.89,137.4,NZ,20,184,70.5,650,9.5,88,434,16.9,219,"6,367",0.7,Reyna,46,86,46.5,0.93,144.1
DAG FuryZ#LEAD,Diamond 3,63,1.5,189.5,VN,27.9,329,66.7,786,5.3,63,681,17.6,352,"11,176",0.8,Sage,94,164,54.3,1.03,125.2
KAZUHA#1038,Gold 1,50.8,1.42,179.6,IN,30.5,300,64.2,632,5.3,52,429,17.6,218,"7,466",0.8,Chamber,47,80,58.8,1.35,169.7
Kenny#S1mp,Bronze 1,60,0.8,117.4,AU,21.1,197,71.1,663,7.7,72,135,13.9,65,"1,326",0.5,Neon,14,26,61.5,0.81,124
Serpent Tempter#666,Ascendant 3,56.6,1.01,131.9,UA,27,228,65.5,554,7.6,64,"1,037",19.7,518,"15,300",0.7,Sage,213,347,55.3,1.07,138.9
Noktho#7556,Platinum 3,48.9,0.96,127.9,BR,16.6,192,78.5,907,4.8,56,878,14.7,433,"11,924",0.7,Sova,168,286,50,0.9,129.1
nhi#viv,Diamond 2,53.7,0.88,126,US,26.7,258,68.9,665,4.4,42,"1,018",22.8,522,"15,093",0.7,Sage,162,290,50.7,0.93,131.2
GHOURISENPAI#4594,Gold 2,51.5,0.97,129.5,PK,16.7,170,74.2,757,9.1,93,401,11.9,193,"5,287",0.6,Chamber,132,224,50.9,0.97,129.2
5AF LeBroff#king,Diamond 2,46.5,0.98,128.4,RO,15,140,77.8,726,7.2,67,544,14,272,"9,166",0.8,Chamber,173,294,50,1.21,151
Kaitsune#0329,Platinum 1,48,0.98,130.5,US,20.8,216,71.1,738,8.1,84,443,15.2,220,"6,009",0.6,Fade,42,74,56.8,1.06,135.5
Dylan#8100,Platinum 1,55.6,1.26,166.7,ZA,23.7,277,69.5,814,6.8,80,359,16.3,175,"5,771",0.8,Reyna,51,92,50,1.18,169.9
イザナギ#9104,Silver 3,48.6,1.18,170.3,IN,19.9,234,74.9,882,5.3,62,411,16.6,186,"5,712",0.7,Omen,62,106,41.5,0.83,124.9
